| 2026-03-21 14:55:07 | INFO | app | [T08] non-color console policy
| 2026-03-21 14:55:07 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:07:36 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:07:36 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:07:39 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:07:39 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:08:00 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:08:00 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:08:04 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:08:04 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:59:26 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:59:26 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 15:59:31 | INFO | app | [T08] non-color console policy
| 2026-03-21 15:59:31 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:00:11 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:00:11 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:00:15 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:00:15 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:12:38 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:12:38 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:12:44 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:12:44 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:36:21 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:36:21 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:36:25 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:36:25 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:40:48 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:40:48 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:40:53 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:40:53 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:46:49 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:46:49 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 16:46:58 | INFO | app | [T08] non-color console policy
| 2026-03-21 16:46:58 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 17:25:09 | INFO | app | [T08] non-color console policy
| 2026-03-21 17:25:09 | ERROR | app | [T08] deterministic plain-text output
| 2026-03-21 17:25:13 | INFO | app | [T08] non-color console policy
| 2026-03-21 17:25:13 | ERROR | app | [T08] deterministic plain-text output
